source_id,source_title,source_url,domain,publisher,country,source_type,publication_date,accessed_date,applicable_product,information_category,confidence,verification_status,data_status,notes
SRC-001,Standards | FEPA - Federation of European Producers of Abrasives,https://fepa-abrasives.org/abrasives/standards/,fepa-abrasives.org,FEPA,France / Europe,industry_association_official,,2026-06-08,abrasive grains,grit standards; F/P terminology,high,verified,reference_only,Official FEPA standards page. Page title and publisher verified by GET on 2026-06-08.
SRC-002,ISO 8486-1:1996 - Bonded abrasives — Determination and designation of grain size distribution — Part 1: Macrogrits F4 to F220,https://www.iso.org/standard/15695.html,iso.org,ISO,International,standards_body_official,1996-08,2026-06-08,fused aluminium oxide macrogrits,bonded abrasive F grit,high,verified,reference_only,"Official ISO record; title, F4–F220 scope and current/confirmed status verified from the public abstract."
SRC-003,ISO 8486-2:2007 - Bonded abrasives — Determination and designation of grain size distribution — Part 2: Microgrits F230 to F2000,https://www.iso.org/standard/42206.html,iso.org,ISO,International,standards_body_official,2007-08,2026-06-08,fused aluminium oxide microgrits,bonded abrasive F microgrit,high,verified,reference_only,Corrected during audit: previous URL /standard/40458.html was an unrelated gas-turbine vibration standard. Official ISO abstract verifies F230–F2000 and bonded/general industrial scope.
SRC-004,ISO 6344-2:2021 - Coated abrasives — Determination and designation of grain size distribution — Part 2: Macrogrit sizes P12 to P220,https://www.iso.org/standard/78220.html,iso.org,ISO,International,standards_body_official,2021-12,2026-06-08,electro-fused aluminium oxide for coated abrasives,coated abrasive P macrogrit,high,verified,reference_only,"Official ISO record; title, P12–P220 scope and coated-abrasive application verified from public abstract."
SRC-005,ISO 6344-3:2021 - Coated abrasives — Determination and designation of grain size distribution — Part 3: Microgrit sizes P240 to P5000,https://www.iso.org/standard/78219.html,iso.org,ISO,International,standards_body_official,2021-11,2026-06-08,electro-fused aluminium oxide for coated abrasives,coated abrasive P microgrit,high,verified,reference_only,Corrected during audit: ISO 6344-3:2013 is withdrawn. Current 2021 record verifies P240–P5000 for coated abrasives.
SRC-006,ISO 9285:1997 - Abrasive grains and crude — Chemical analysis of fused aluminium oxide,https://www.iso.org/standard/16940.html,iso.org,ISO,International,standards_body_official,1997-01,2026-06-08,fused aluminium oxide,chemical test methods,high,verified,reference_only,Official ISO record. Public abstract supports chemical-analysis method scope only; it does not set BFA composition limits.
SRC-007,ISO 11126-7:2018 - Specifications for non-metallic blast-cleaning abrasives — Part 7: Fused aluminium oxide,https://www.iso.org/standard/66713.html,iso.org,ISO,International,standards_body_official,2018-08,2026-06-08,fused aluminium oxide blasting abrasive,blast media physical requirements,high,verified,reference_only,Official ISO record. Public abstract lists specification categories; numerical acceptance limits were not copied.
SRC-008,Brown Fused Aluminum Oxide | Washington Mills,https://www.washingtonmills.com/products/brown-fused-aluminum-oxide,washingtonmills.com,Washington Mills,United States,manufacturer_official_product_page,,2026-06-08,Brown Fused Aluminum Oxide,terminology; products; applications,high,verified,reference_only,"Official manufacturer technical product page. Identity, terminology, Mohs 9, applications and selected treated grades are visible on the page."
SRC-009,Washington Mills Abrasive Grains for Bonded Abrasive Products,https://www.washingtonmills.com/sites/default/files/pdfs/brochures/Bonded_line_card_email.pdf,washingtonmills.com,Washington Mills,United States,manufacturer_official_brochure,2007-09,2026-06-08,BFA; treated BFA,heat treatment; coatings; bonded abrasives,high,verified,reference_only,"Official Washington Mills brochure, dated 09/2007. PDF content verified; current commercial availability must be reconfirmed."
SRC-010,BLASTITE Brown Aluminum Oxide,https://www.washingtonmills.com/sites/default/files/2023-04/BLASTITE.pdf,washingtonmills.com,Washington Mills,United States,manufacturer_official_technical_brochure,,2026-06-08,brown aluminum oxide blast media,applications; grit; standard claims,high,verified,reference_only,Official Washington Mills technical brochure. PDF title and BLASTITE properties/applications verified.
