gap_id,product_id,data_category,requested_item,required_evidence,responsible_department,priority,status,source_file,source_date,applicable_grit_or_batch,approved_by,approval_date,confidentiality_level,target_repository_file,notes
P2-P0-G1-001,bfa-grade-1,产品定义,企业内部产品定义及与另一等级的边界,技术/质量批准的产品定义文件,技术部；质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-01,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,阻断最终分级与对外解释
P2-P0-G1-002,bfa-grade-1,分级逻辑,一级与二级在原料、成分、工艺、性能、用途上的分级依据,受控分级规则、工艺说明和批准记录,技术部；生产部；质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-01,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,不得仅按中文等级直译
P2-P0-G1-003,bfa-grade-1,生产工艺,原料来源和关键生产工艺差异,原料记录、流程文件或生产负责人批准说明,技术部；生产部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-01,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,敏感工艺可只登记受控编号与批准结论
P2-P0-G1-004,bfa-grade-1,产品命名,正式英文名称和牌号的技术依据,已批准技术定义、语义审核和命名决定,技术部；外贸部；管理层,P0,not_started,market-positioning/decision-required.md#DR-07,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,禁用 First Grade/Second Grade 作为最终名
P2-P0-G1-005,bfa-grade-1,化学成分,各粒度化学成分保证值、典型值、单位和检测方法,至少三批检测数据、方法文件、COA或内部检验报告,质检部；技术部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-03,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,需区分保证值与典型值
P2-P0-G1-006,bfa-grade-1,批次稳定性,至少三个可识别批次的检测结果及稳定性审核,三批原始报告、批次号、日期和审核结论,质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-03,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,单批结果不得扩展为长期保证值
P2-P0-G1-007,bfa-grade-1,粒度能力,当前可生产的粒度体系和完整范围,生产清单、筛网清单和质检能力清单,生产部；质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-04,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,按F/P/JIS/ANSI/GB/T/Mesh/mm分别说明
P2-P0-G1-008,bfa-grade-1,执行标准,实际执行标准的编号、版本和适用粒度,受控标准清单、内部规范或合同规范,技术部；质检部,P0,not_started,product-data/missing-information.md#P0,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,仅记录企业实际执行情况
P2-P0-G1-009,bfa-grade-1,粒度控制,粒度组成、超粗粒和细粉控制限值,粒度报告、筛析记录和受控限值,质检部；生产部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-05,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,需标明粒度和标准版本
P2-P0-G1-010,bfa-grade-1,检测与抽样,抽样方案、粒度检测方法、设备和COA出具能力,抽样SOP、检测SOP、设备清单和COA样本,质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-05,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,COA样本应匿名化或脱敏
P2-P0-G1-011,bfa-grade-1,杂质控制,磁性物、游离铁或总铁的控制指标和方法,受控方法、批次检测记录和批准限值,质检部；技术部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-07,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,游离铁与总铁不得混用
P2-P0-G1-012,bfa-grade-1,基础理化,水分、pH及企业实际控制的其他基础指标,受控方法、批次记录和批准限值,质检部；技术部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-07,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,无实际控制项目可经批准标记不适用
P2-P0-G1-013,bfa-grade-1,物理性能,真密度、堆积密度、粒形及其他物性和方法,分粒度检测报告、方法文件和审核记录,质检部；技术部,P0,not_started,public-research/unresolved-questions.md#A-6,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,不得跨粒度使用单一数值
P2-P0-G1-014,bfa-grade-1,应用边界,经验证的允许应用、禁止应用和限制条件,技术评审、匿名客户记录或应用试验,技术部；销售部；质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-06,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,未批准前不形成客户推荐
P2-P0-G1-015,bfa-grade-1,产能供货,月产能、最大供货能力和产线约束,生产记录、排产能力审核和负责人批准,生产部,P0,not_started,product-data/missing-information.md#P0,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,不得由历史单月产量直接推断保证产能
P2-P0-G1-016,bfa-grade-1,商业交付,MOQ、常规交期、特殊订单交期边界,订单/交付记录和生产销售联合批准,生产部；销售部；外贸部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-09,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,价格不进入本公开采集表
P2-P0-G1-017,bfa-grade-1,筛分能力,特殊筛分、定制粒度和切换限制,设备/筛网记录、试产记录和批准说明,生产部；质检部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-04,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,需标明可承诺与仅可试验的能力
P2-P0-G1-018,bfa-grade-1,包装物流,袋型、净重、托盘、20/40尺柜装载和定制包装,包装规范、装柜记录、标签模板和批准说明,生产部；仓储物流部；销售部,P0,not_started,market-positioning/assumptions-and-gaps.md#GAP-P0-09,2026-06-08,待企业标明,,,internal,product-data/product-master-data.json,装柜量需说明包装和计算条件
