conclusion_id,conclusion,conclusion_type,product,source_type,source_ids,internal_data_fields,confidence,status,limitations,review_required
MP-C01,一级/二级不能直接映射为全球统一 First/Second Grade，最终名称须由规格和用途支持,naming_framework,一级；二级,internal_and_public,SRC-008;SRC-019;SRC-020;SRC-021,product_name_en;chemical_composition;grit_sizes;standards;applications,high,pending,内部产品存在已确认，但最终国际命名未确认,yes
MP-C02,Brown Fused Alumina 是推荐通用材料名，美国语境可用 Brown Fused Aluminum Oxide,terminology,四类,public,SRC-008;SRC-009;SRC-029,,high,reference_only,证明行业术语，不证明我方规格,yes
MP-C03,一级暂作为标准工业级并向中高端磨具级验证的主力候选,positioning_hypothesis,一级,internal_and_public,SRC-008;SRC-009;SRC-010;SRC-019;SRC-021,grade_differences;chemical_composition;physical_properties;applications;documents,medium,pending,主力角色与应用适配均待企业数据/客户验证,yes
MP-C04,二级暂作为成本敏感工业应用候选，但不能推断为再生料或统一低等级,positioning_hypothesis,二级,internal_and_public,SRC-017;SRC-020,raw_material;production_process;grade_differences;chemical_composition;applications,medium,pending,成本与性能均无企业数据；virgin/recycled 未确认,yes
MP-C05,煅烧 BFA 可作为设备升级后的特殊热处理/磨具升级候选,portfolio_hypothesis,煅烧,public,SRC-015;SRC-023,future_product_details.equipment_status;heat_treatment_temperature;performance_improvement_direction,medium,pending,竞品存在不证明我方可生产或性能提升,yes
MP-C06,表面处理 BFA 可作为技术升级后的高附加值候选；当前仅用 Surface-treated BFA,portfolio_hypothesis,表面处理,public,SRC-009;SRC-014;SRC-015;SRC-016,future_product_details.surface_treatment_material;surface_treatment_process;performance_improvement_direction,medium,pending,命名冲突、材料和是否含 Ir 未确认,yes
MP-C07,当前一级为未来独立站主推候选，二级为补充；未来产品不得作为现货,channel_readiness,四类,internal,,product_status;documents;commercial_data;applications,high,pending,网站阶段尚未开始；需完成批准资料,yes
MP-C08,磨具与喷砂适合作为双通道验证，耐火是否主市场待企业能力确认,market_entry_hypothesis,一级；二级,public,SRC-008;SRC-009;SRC-010;SRC-017;SRC-018;SRC-019;SRC-021;SRC-023,applications;grit_sizes;chemical_composition;customer_types,medium,pending,不构成国家或渠道优先级最终决定,yes
MP-C09,固结磨具、陶瓷/树脂砂轮等应用在行业中存在，但我方适配待验证,application_reference,一级；二级；煅烧；表面处理,public,SRC-008;SRC-009;SRC-014;SRC-023,applications.bonded_abrasives;applications.resin_wheels;applications.vitrified_wheels,medium,reference_only,公开供应商应用不能替代我方试验,yes
MP-C10,涂附磨具、砂带、砂纸应用在行业中存在，粒度推荐不能照搬,application_reference,四类,public,SRC-015,applications.coated_abrasives;applications.abrasive_belts;applications.sandpaper;grit_sizes,medium,reference_only,供应商粒度带不是通用标准或我方能力,yes
