inventory_id,document_type,product_id,file_name,document_title,version_or_batch,date_issued,department,confidentiality_level,storage_location,intake_status,evidence_id,notes
DINV-REQ-001,COA,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-002,TDS,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-003,SDS,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-004,认证证书,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-005,第三方检测报告,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-006,内部检验报告,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-007,包装规格,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-008,产品照片,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-009,标签文件,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-010,客户应用记录,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-011,生产和物流文件,bfa-grade-1,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-012,COA,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-013,TDS,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-014,SDS,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-015,认证证书,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-016,第三方检测报告,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-017,内部检验报告,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-018,包装规格,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-019,产品照片,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-020,标签文件,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-021,客户应用记录,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
DINV-REQ-022,生产和物流文件,bfa-grade-2,,,,,待指定,internal,,not_received,,需求占位；收到真实文件后填写，不代表文件已存在
