matrix_id,product_id,data_field,applicable_grit,applicable_batch_or_period,data_value,unit,value_type,test_method,sampling_method,applicable_factory_or_line,valid_from,valid_until,evidence_ids,data_status,approval_status,approved_by,approval_date,confidentiality_level,external_marketing_allowed,related_gap_ids,target_repository_file,notes
PEM-001,bfa-grade-1,产品定义,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-001,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-002,bfa-grade-1,分级逻辑,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-002,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-003,bfa-grade-1,生产工艺,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-003,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-004,bfa-grade-1,产品命名,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-004,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-005,bfa-grade-1,化学成分,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-005,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-006,bfa-grade-1,批次稳定性,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-006,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-007,bfa-grade-1,粒度能力,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-007,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-008,bfa-grade-1,执行标准,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-008,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-009,bfa-grade-1,粒度控制,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-009,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
PEM-010,bfa-grade-1,检测与抽样,待企业标明,待企业标明,,,pending,,,,,,,pending,not_started,,,internal,no,P2-P0-G1-010,product-data/product-master-data.json,证据和数据值尚未收到；不得用于外部营销
